id,parent_id,location_name
2,1,Tbilisi
3,1,Kutaisi
4,1,Batumi
7,1,Poti
15,1,Rustavi
30,1,Rustavi Car Market
113,1,Caucasus Auto Market
53,1,Dusheti
39,1,Kaspi
38,1,Borjomi
37,1,Akhmeta
36,1,Zestaphoni
40,1,Sagarejo
41,1,Kobuleti
44,1,Gurjaani
31,1,Akhaltsikhe
5,1,Sokhumi
47,1,Martvili
48,1,Chiatura
52,1,Chkhorotsku
8,1,Telavi
54,1,Lagodekhi
16,1,Mtskheta
6,1,Tskhinvali
14,1,Akhalkalaki
13,1,Gori
12,1,Khashuri
11,1,Ambrolauri
10,1,Ozurgeti
9,1,Zugdidi
21,29,USA
55,1,Senaki
56,1,Sighnaghi
19,29,Germany
57,1,Kareli
22,29,Japan
33,29,Europe
59,1,Marneuli
58,1,Gardabani
46,29,Spain
28,29,Russia
32,29,England
20,29,Netherlands
43,29,Ireland
42,29,Italy
60,29,South Korea
45,29,France
35,29,Dubai
23,0,On way to Georgia
1,0,Georgia
29,0,Abroad
24,29,Other
61,1,Samtredia
62,1,Mestia
63,1,Sachkhere
64,1,Khobi
65,29,Ukraine
66,1,Tianeti
69,29,China
70,29,Canada
71,1,"POTI ""ECZ"""
72,1,"BATUMI ""ECZ"""
74,1,Kvareli
75,1,Tkibuli
76,1,Dedoplistskaro
77,1,Oni
78,1,Bolnisi
79,29,Turkey
80,1,Tskaltubo
81,1,Tetritskaro
82,1,Tianeti
83,1,Kharagauli
84,1,Tsalka
85,1,Tsalenjikha
86,1,Tserovani
87,1,Lanchkhuti
88,1,Sartichala
91,1,Khoni
93,29,Poland
96,1,Ninotsminda
97,1,Aspindza
101,1,Abasha
109,1,Tsageri
116,1,Chakvi
119,1,Chokhatauri
122,1,Terjola
125,29,Armenia
127,1,Lechkhumi
131,1,Dmanisi
133,1,Ureki
137,1,Gudauri
139,1,Vani
